pasillo_destino,tipologia,target_positions
1,suelo_300,48
1,suelo_250,42
1,suelo_126,18
1,balda_9h,0
2,suelo_300,30
2,suelo_250,57
2,suelo_126,18
2,balda_9h,3
3,suelo_300,21
3,suelo_250,33
3,suelo_126,30
3,balda_9h,3
4,suelo_300,27
4,suelo_250,42
4,suelo_126,24
4,balda_9h,3
5,suelo_300,24
5,suelo_250,42
5,suelo_126,30
5,balda_9h,3
6,suelo_300,36
6,suelo_250,45
6,suelo_126,18
6,balda_9h,3
7,suelo_300,21
7,suelo_250,51
7,suelo_126,24
7,balda_9h,6
8,suelo_300,24
8,suelo_250,42
8,suelo_126,24
8,balda_9h,9
9,suelo_300,30
9,suelo_250,48
9,suelo_126,21
9,balda_9h,6
10,suelo_300,33
10,suelo_250,39
10,suelo_126,24
10,balda_9h,6
11,suelo_300,30
11,suelo_250,42
11,suelo_126,24
11,balda_9h,6
12,suelo_300,18
12,suelo_250,33
12,suelo_126,18
12,balda_9h,3
